"Name of commune" Residents "Change in %" "Population density per km²" "Foreign nationals in %" "0-19 years" "20-64 years" "65 years or over" "Crude marriage rate" "Crude divorce rate" "Crude birth rate" "Crude mortality rate" "Private households" "Size of households in persons" "Total surface area in km2" "Settlement and urban area in %" "Change in ha" "Agricultural area in %" "Change in ha" "Wooded area in %" "Unproductive area in %" "Employed total" "Primary sector" "Secondary sector" "Tertiary sector" "Business establishments total" "Primary sector" "Secondary sector" "Tertiary sector" "Dwelling vacancy rate" "New housing units per 1000 residents" "Social assistance rate" "FDP/PLR 2)" CVP SP SVP EVP/CSP GLP BDP PdA/Sol. GPS "Small right-wing parties"
"Berg am Irchel" 587 84 -2.0 -1.7 0.7 8.0 16.7 64.9 18.4 7.1 5.0 48.2 45.3 1.6 164 59 26 79 59 25 11 23 1.7 1.13 1.5 7.6 1.8 6.6 51.2 2.4 10.4 7.6 0.0 7.6 2.3 2.4     
"Buch am Irchel" 899 88 2.9 2.3 1.4 7.9 25.1 62.5 12.3 10.1 6.8 55.0 38.1 0.0 184 76 34 74 64 27 5 32 16.7 0.53 0.4 9.5 1.4 6.4 49.5 1.5 12.8 7.8 0.0 3.2 5.4 2.5     
Dachsen 1,960 723 1.1 -0.1 0.5 13.7 25.2 57.7 17.1 2.7 31.6 48.3 13.0 7.1 409 20 180 209 102 8 27 67 0.5 2.61 1.3 10.8 5.3 16.8 29.4 2.9 10.8 8.4 0.1 10.9 3.3 1.3     
Dorf 634 114 0.3 0.5 0.0 7.1 24.6 61.0 14.4 5.5 12.5 46.4 41.0 0.2 185 40 33 112 44 12 9 23 3.2 1.55 0.3 6.4 1.3 11.4 50.4 2.5 7.2 5.8 0.0 3.4 9.5 2.3     
Feuerthalen 3,464 1,397 -0.7 -1.7 0.7 22.9 20.0 63.4 16.7 2.5 42.8 11.2 44.0 2.0 1,058 12 212 834 163 1 36 126 0.0 0.71 2.8 7.3 5.0 20.4 32.8 2.7 9.7 9.3 0.1 7.9 2.6 2.3     
Flaach 1,331 131 8.5 7.3 1.1 11.8 22.2 61.7 16.1 10.2 8.4 50.9 33.7 7.0 731 105 183 443 139 32 27 80 31.6 0.18 0.3 7.2 2.1 9.0 52.7 5.4 7.5 4.8 0.0 4.1 6.0 1.2     
Flurlingen 1,414 584 -1.0 -1.0 0.1 14.4 21.4 62.4 16.2 2.4 22.9 17.1 56.7 3.3 483 8 158 317 110 4 26 80 0.7 0.31 0.9 12.7 5.2 19.6 26.4 2.5 12.8 6.4 0.1 10.1 1.4 2.9     
Andelfingen 2,063 307 10.9 9.3 1.1 13.3 22.5 58.2 19.2 6.7 15.8 46.0 32.9 5.2 1,339 44 569 726 178 13 30 135 17.5 0.83 1.1 11.3 2.4 13.6 36.0 6.7 12.5 6.5 0.1 7.7 2.3 1.0     
Henggart 2,254 741 1.9 0.1 1.6 9.2 25.6 58.7 15.7 3.1 22.9 56.2 19.9 1.0 586 22 349 215 113 10 24 79 0.0 0.32 1.2 8.6 2.2 12.7 39.8 5.3 11.5 9.3 0.3 4.8 4.4 1.2     
Humlikon 483 131 5.7 4.6 0.7 5.6 26.3 54.2 19.5 3.7 9.5 62.5 27.7 0.3 172 11 7 154 34 6 5 23 6.2 1.06 0.0 9.1 1.9 7.5 54.0 1.9 7.6 8.1 0.0 2.6 4.6 2.7     
